# k(t) scatter data
year,k_approach0,k_approach5c
1961,-0.14412502,-0.14384734
106,NGA,0.06147630,0.06187266,-0.00005059,-0.00005007,0.00001240,0.00001135
107,NIC,0.01280271,0.01270230,0.00001526,0.00001619,0.00008525,0.00008579
108,NLD,0.02523972,0.02506885,-0.00099313,-0.00099440,0.00002650,0.00002680
109,NOR,0.14771470,0.14570021,-0.00133339,-0.00133352,-0.00000834,-0.00000220
110,NPL,0.02453751,0.02464089,-0.00007841,-0.00007900,0.00002185,0.00002168
111,NZL,0.01164897,0.01150740,-0.00049369,-0.00049428,0.00003093,0.00003144
112,OMN,0.09715829,0.09798419,-0.00154737,-0.00154757,0.00001795,0.00001555
113,PAK,0.02085268,0.02154509,-0.00055979,-0.00056131,0.00002429,0.00002222
114,PAN,0.04907559,0.04939638,-0.00032957,-0.00032938,0.00004890,0.00004810
115,PER,-0.00458921,-0.00419431,-0.00009479,-0.00009407,0.00005938,0.00005828
116,PHL,0.04406899,0.04420601,0.00000398,0.00000458,0.00004408,0.00004389
117,POL,0.03600401,0.03481397,-0.00030865,-0.00031198,0.00005029,0.00005364
118,PRK,0.13064011,0.13132912,-0.01849789,-0.01853769,0.00055284,0.00055286
119,PRT,0.00882462,0.00915174,-0.00132539,-0.00132565,0.00004458,0.00004369
120,PRY,0.02832372,0.02982972,-0.00065340,-0.00065264,0.00003469,0.00003003
121,QAT,0.06567117,0.06798990,0.00163688,0.00163378,-0.00000064,-0.00000788
122,ROU,0.03000007,0.02841603,-0.00033276,-0.00033880,0.00005964,0.00006438
123,RUS,0.18858854,0.18564388,-0.00136507,-0.00136756,0.00005062,0.00005953
124,RWA,-0.01614447,-0.01588665,0.00018806,0.00018872,0.00006446,0.00006388
125,SAU,0.04213911,0.04368718,-0.00078608,-0.00078750,0.00007236,0.00006763
126,SDN,0.06775996,0.06688814,0.00002150,0.00002425,-0.00004291,-0.00004013
127,SEN,0.04451044,0.04526942,0.00019520,0.00019566,0.00004752,0.00004527
128,SGP,0.09248470,0.09261354,-0.00092061,-0.00091994,0.00001004,0.00000985
129,SLE,0.02175558,0.02219842,-0.00032868,-0.00032843,0.00006517,0.00006400
130,SLV,0.03512718,0.03516968,-0.00008310,-0.00008223,0.00003196,0.00003205
