model,region,year,area,lai,tas,pr,gpp,pct_growth_gpp
MIROC-ES2L,Côte d'Ivoire,1984,191899615232.0,596231470347.763,25.852836767035804,1.5508946885587016,5.28162012957376,-0.012499657591236168
MIROC-ES2L,Côte d'Ivoire,1985,191899615232.0,603562072442.3882,26.448481826194765,1.7363147919715305,5.122355833973866,-0.030618436323941678
MIROC-ES2L,Côte d'Ivoire,1986,191899615232.0,589165643832.8052,26.391265324083072,1.5114215556700465,5.228457366900254,0.020501818990402043
MIROC-ES2L,Côte d'Ivoire,1987,191899615232.0,590598436983.7211,25.81689350896189,1.5833858988276082,5.262416987770964,0.0064741485484474115
MIROC-ES2L,Côte d'Ivoire,1988,191899615232.0,593638287605.8152,25.618401034884403,1.645885112837729,5.278113476209943,0.002978313111544617
MIROC-ES2L,Côte d'Ivoire,1989,191899615232.0,592831161732.9155,25.8793087602064,1.5382479110118181,5.450888715039139,0.0322099246605112
MIROC-ES2L,Côte d'Ivoire,1990,191899615232.0,605508900338.1687,26.4731992051272,1.545051256203041,5.41897185344831,-0.005872559839377622
MIROC-ES2L,Côte d'Ivoire,1991,191899615232.0,596238146692.048,26.84252691974834,1.6053896347278152,5.2677347369436465,-0.02830567356355629
MIROC-ES2L,Côte d'Ivoire,1992,191899615232.0,618222604102.9314,25.60753094520417,1.5775241030173655,5.403643328789086,0.025472987627500165
MIROC-ES2L,Côte d'Ivoire,1993,191899615232.0,594566491133.7794,25.408303494090315,1.630563023632775,5.479891901202138,0.014011958121956214
MIROC-ES2L,Côte d'Ivoire,1994,191899615232.0,611209369546.1938,25.999227303499975,1.5403740199923892,5.365128548359682,-0.021165038360081656
MIROC-ES2L,Côte d'Ivoire,1995,191899615232.0,613392678522.799,26.31127825377868,1.6055751551391169,5.412322156735245,0.008757898563484412
MIROC-ES2L,Côte d'Ivoire,1996,191899615232.0,593760801719.4254,26.424816549467227,1.6755902689532631,5.33734899963936,-0.013949147221895108
MIROC-ES2L,Côte d'Ivoire,1997,191899615232.0,588918485727.9048,26.923878642088052,1.6168757226340051,5.279070663552799,-0.010979016153153554
MIROC-ES2L,Côte d'Ivoire,1998,191899615232.0,579777731072.6172,25.602596195357805,1.6221203074565007,5.185425470395531,-0.01789817528529758
MIROC-ES2L,Côte d'Ivoire,1999,191899615232.0,567732962815.9445,25.897551206806074,1.6007299968380313,5.085651194644628,-0.019428813072098094
MIROC-ES2L,Côte d'Ivoire,2000,191899615232.0,594959907211.4496,26.22445579511297,1.5677131694946032,5.411143035472823,0.06203726933597564
MIROC-ES2L,Côte d'Ivoire,2001,191899615232.0,587925368931.6519,26.902644379898604,1.576091201849293,5.206816298587078,-0.0384917586587592
MIROC-ES2L,Côte d'Ivoire,2002,191899615232.0,577628713827.9381,26.443716332214233,1.6192187954153465,5.244295726392188,0.007172363741955179
